894	201	101384.00	27.00
896	202	101396.00	27.00
896	200	101393.00	27.00
898	200	101394.00	27.00
897	204	101392.00	27.00
896	203	101386.00	27.00
898	204	101389.00	27.00
0	204	101390.00	27.00
905	205	101400.00	27.00
907	205	101388.00	27.00
905	206	101392.00	27.00
904	205	101392.00	27.00
903	205	101392.00	27.00
904	205	101387.00	27.00
905	205	101391.00	27.00
906	205	101391.00	27.00
907	206	101387.00	27.00
906	210	101386.00	27.00
905	208	101392.00	27.00
907	206	101391.00	27.00
908	204	101390.00	27.00
907	207	101389.00	27.00
902	211	101390.00	27.00
895	209	101387.00	27.00
897	205	101387.00	27.00
904	205	101383.00	27.00
907	206	101384.00	27.00
911	205	101393.00	27.00
913	207	101393.00	27.00
915	201	101391.00	27.00
921	203	101391.00	27.00
922	205	101394.00	27.00
921	202	101389.00	27.00
924	206	101385.00	27.00
932	205	101385.00	27.00
936	205	101391.00	27.00
943	204	101387.00	27.00
950	204	101387.00	27.00
953	204	101385.00	27.00
954	204	101389.00	27.00
953	205	101389.00	27.00
953	203	101391.00	27.00
956	204	101387.00	27.00
956	203	101385.00	27.00
955	203	101394.00	27.00
955	204	101383.00	27.00
955	203	101391.00	27.00
959	202	101383.00	27.00
961	203	101393.00	27.00
962	202	101390.00	27.00
961	202	101389.00	27.00
960	202	101388.00	27.00
960	202	101388.00	27.00
962	202	101387.00	27.00
965	203	101394.00	27.00
970	202	101388.00	27.00
973	205	101393.00	27.00
974	203	101395.00	27.00
976	204	101393.00	27.00
977	202	101391.00	27.00
981	195	101389.00	27.00
984	199	101397.00	27.00
986	200	101390.00	27.00
988	195	101391.00	27.10
993	199	101396.00	27.00
994	201	101394.00	27.00
994	194	101392.00	27.00
995	192	101395.00	27.10
995	191	101388.00	27.10
993	179	101393.00	27.10
992	172	101391.00	27.10
993	172	101390.00	27.10
995	180	101389.00	27.10
997	197	101395.00	27.10
1004	201	101392.00	27.00
1009	212	101388.00	27.10
1014	221	101391.00	27.10
1016	222	101396.00	27.10
1019	230	101392.00	27.10
1023	233	101397.00	27.10
1025	229	101392.00	27.10
1029	222	101394.00	27.10
1032	218	101390.00	27.10
1040	380	101398.00	27.10
1051	421	101393.00	27.10
1054	474	101392.00	27.10
1054	482	101389.00	27.10
1053	441	101389.00	27.10
1056	443	101390.00	27.10
1058	441	101393.00	27.10
1060	444	101392.00	27.00
1060	443	101389.00	27.00
1061	444	101395.00	27.00
1060	441	101390.00	27.00
